"Datazone2001","SFI_decilesnum"
"S01000001",7
"S01000002",2
"S01000003",5
"S01000004",2
"S01000005",8
"S01000006",5
"S01000007",1
"S01000008",5
"S01000009",3
"S01000010",1
"S01000011",3
"S01000012",2
"S01000013",3
"S01000014",3
"S01000015",3
"S01000016",4
"S01000017",3
"S01000018",2
"S01000019",3
"S01000020",7
"S01000021",3
"S01000022",1
"S01000023",1
"S01000024",1
"S01000025",1
"S01000026",7
"S01000027",2
"S01000028",6
"S01000029",4
"S01000030",6
"S01000031",6
"S01000032",5
"S01000033",8
"S01000034",2
"S01000035",9
"S01000036",8
"S01000037",8
"S01000038",4
"S01000039",9
"S01000040",4
"S01000041",4
"S01000042",9
"S01000043",10
"S01000044",9
"S01000045",1
"S01000046",1
"S01000047",10
"S01000048",5
"S01000049",3
"S01000050",7
"S01000051",1
"S01000052",6
"S01000053",9
"S01000054",4
"S01000055",8
"S01000056",2
"S01000057",7
"S01000058",3
"S01000059",8
"S01000060",8
"S01000061",4
"S01000062",10
"S01000063",5
"S01000064",8
"S01000065",9
"S01000066",10
"S01000067",7
"S01000068",7
"S01000069",9
"S01000070",5
"S01000071",8
"S01000072",5
"S01000073",2
"S01000074",7
"S01000075",10
"S01000076",1
"S01000077",8
"S01000078",10
"S01000079",10
"S01000080",10
"S01000081",4
"S01000082",8
"S01000083",9
"S01000084",10
"S01000085",10
"S01000086",10
"S01000087",9
"S01000088",10
"S01000089",1
"S01000090",10
"S01000091",10
"S01000092",10
"S01000093",10
"S01000094",10
"S01000095",10
"S01000096",7
"S01000097",7
"S01000098",10
"S01000099",3
"S01000100",10
"S01000101",9
"S01000102",10
"S01000103",10
"S01000104",4
"S01000105",6
"S01000106",6
"S01000107",10
"S01000108",10
"S01000109",10
"S01000110",3
"S01000111",9
"S01000112",10
"S01000113",8
"S01000114",9
"S01000115",6
"S01000116",10
"S01000117",7
"S01000118",4
"S01000119",10
"S01000120",10
"S01000121",4
"S01000122",7
"S01000123",3
"S01000124",10
"S01000125",10
"S01000126",10
"S01000127",4
"S01000128",10
"S01000129",10
"S01000130",10
"S01000131",9
"S01000132",10
"S01000133",8
"S01000134",6
"S01000135",10
"S01000136",7
"S01000137",10
"S01000138",10
"S01000139",4
"S01000140",3
"S01000141",6
"S01000142",7
"S01000143",1
"S01000144",10
"S01000145",7
"S01000146",10
"S01000147",10
"S01000148",7
"S01000149",10
"S01000150",5
"S01000151",6
"S01000152",10
"S01000153",10
"S01000154",3
"S01000155",6
"S01000156",10
"S01000157",9
"S01000158",7
"S01000159",3
"S01000160",3
"S01000161",10
"S01000162",8
"S01000163",4
"S01000164",10
"S01000165",10
"S01000166",10
"S01000167",4
"S01000168",5
"S01000169",5
"S01000170",10
"S01000171",2
"S01000172",8
"S01000173",8
"S01000174",1
"S01000175",10
"S01000176",10
"S01000177",9
"S01000178",5
"S01000179",9
"S01000180",5
"S01000181",5
"S01000182",4
"S01000183",10
"S01000184",8
"S01000185",10
"S01000186",6
"S01000187",5
"S01000188",10
"S01000189",6
"S01000190",4
"S01000191",9
"S01000192",10
"S01000193",4
"S01000194",10
"S01000195",9
"S01000196",7
"S01000197",4
"S01000198",7
"S01000199",9
"S01000200",9
"S01000201",8
"S01000202",9
"S01000203",8
"S01000204",5
"S01000205",10
"S01000206",2
"S01000207",8
"S01000208",7
"S01000209",8
"S01000210",9
"S01000211",8
"S01000212",6
"S01000213",9
"S01000214",3
"S01000215",5
"S01000216",4
"S01000217",8
"S01000218",3
"S01000219",8
"S01000220",10
"S01000221",9
"S01000222",5
"S01000223",8
"S01000224",4
"S01000225",3
"S01000226",7
"S01000227",7
"S01000228",9
"S01000229",7
"S01000230",7
"S01000231",2
"S01000232",7
"S01000233",6
"S01000234",1
"S01000235",5
"S01000236",1
"S01000237",1
"S01000238",4
"S01000239",2
"S01000240",1
"S01000241",1
"S01000242",5
"S01000243",1
"S01000244",6
"S01000245",2
"S01000246",3
"S01000247",1
"S01000248",2
"S01000249",2
"S01000250",1
"S01000251",1
"S01000252",4
"S01000253",1
"S01000254",2
"S01000255",4
"S01000256",2
"S01000257",2
"S01000258",2
"S01000259",1
"S01000260",3
"S01000261",1
"S01000262",2
"S01000263",5
"S01000264",4
"S01000265",3
"S01000266",5
"S01000267",5
"S01000268",3
"S01000269",1
"S01000270",3
"S01000271",3
"S01000272",5
"S01000273",3
"S01000274",4
"S01000275",3
"S01000276",2
"S01000277",3
"S01000278",6
"S01000279",2
"S01000280",3
"S01000281",8
"S01000282",3
"S01000283",3
"S01000284",2
"S01000285",1
"S01000286",8
"S01000287",5
"S01000288",2
"S01000289",5
"S01000290",7
"S01000291",2
"S01000292",4
"S01000293",9
"S01000294",2
"S01000295",1
"S01000296",3
"S01000297",3
"S01000298",2
"S01000299",3
"S01000300",3
"S01000301",5
"S01000302",3
"S01000303",7
"S01000304",1
"S01000305",2
"S01000306",2
"S01000307",2
"S01000308",3
"S01000309",6
"S01000310",2
"S01000311",6
"S01000312",7
"S01000313",3
"S01000314",2
"S01000315",2
"S01000316",5
"S01000317",5
"S01000318",1
"S01000319",1
"S01000320",5
"S01000321",2
"S01000322",2
"S01000323",3
"S01000324",1
"S01000325",3
"S01000326",3
"S01000327",1
"S01000328",4
"S01000329",5
"S01000330",4
"S01000331",3
"S01000332",4
"S01000333",5
"S01000334",4
"S01000335",1
"S01000336",5
"S01000337",4
"S01000338",7
"S01000339",2
"S01000340",5
"S01000341",7
"S01000342",6
"S01000343",6
"S01000344",2
"S01000345",3
"S01000346",2
"S01000347",4
"S01000348",4
"S01000349",4
"S01000350",1
"S01000351",3
"S01000352",1
"S01000353",1
"S01000354",6
"S01000355",1
"S01000356",2
"S01000357",1
"S01000358",1
"S01000359",1
"S01000360",8
"S01000361",4
"S01000362",2
"S01000363",1
"S01000364",4
"S01000365",2
"S01000366",1
"S01000367",2
"S01000368",3
"S01000369",2
"S01000370",1
"S01000371",2
"S01000372",4
"S01000373",1
"S01000374",2
"S01000375",4
"S01000376",3
"S01000377",5
"S01000378",1
"S01000379",1
"S01000380",1
"S01000381",1
"S01000382",3
"S01000383",3
"S01000384",5
"S01000385",5
"S01000386",5
"S01000387",2
"S01000388",2
"S01000389",1
"S01000390",5
"S01000391",8
"S01000392",4
"S01000393",3
"S01000394",5
"S01000395",2
"S01000396",5
"S01000397",2
"S01000398",2
"S01000399",9
"S01000400",8
"S01000401",1
"S01000402",4
"S01000403",5
"S01000404",2
"S01000405",2
"S01000406",8
"S01000407",6
"S01000408",2
"S01000409",2
"S01000410",2
"S01000411",3
"S01000412",3
"S01000413",1
"S01000414",2
"S01000415",3
"S01000416",2
"S01000417",2
"S01000418",3
"S01000419",4
"S01000420",4
"S01000421",1
"S01000422",3
"S01000423",1
"S01000424",2
"S01000425",3
"S01000426",1
"S01000427",7
"S01000428",2
"S01000429",2
"S01000430",3
"S01000431",8
"S01000432",2
"S01000433",6
"S01000434",6
"S01000435",2
"S01000436",1
"S01000437",4
"S01000438",1
"S01000439",6
"S01000440",2
"S01000441",4
"S01000442",3
"S01000443",1
"S01000444",1
"S01000445",2
"S01000446",3
"S01000447",3
"S01000448",3
"S01000449",3
"S01000450",2
"S01000451",3
"S01000452",4
"S01000453",2
"S01000454",6
"S01000455",2
"S01000456",4
"S01000457",4
"S01000458",2
"S01000459",6
"S01000460",5
"S01000461",8
"S01000462",6
"S01000463",5
"S01000464",3
"S01000465",1
"S01000466",2
"S01000467",3
"S01000468",2
"S01000469",1
"S01000470",3
"S01000471",2
"S01000472",2
"S01000473",4
"S01000474",4
"S01000475",5
"S01000476",1
"S01000477",2
"S01000478",6
"S01000479",4
"S01000480",2
"S01000481",3
"S01000482",9
"S01000483",7
"S01000484",9
"S01000485",2
"S01000486",10
"S01000487",6
"S01000488",5
"S01000489",8
"S01000490",5
"S01000491",8
"S01000492",7
"S01000493",4
"S01000494",8
"S01000495",1
"S01000496",1
"S01000497",4
"S01000498",2
"S01000499",3
"S01000500",5
"S01000501",3
"S01000502",3
"S01000503",2
"S01000504",7
"S01000505",2
"S01000506",3
"S01000507",5
"S01000508",2
"S01000509",3
"S01000510",4
"S01000511",2
"S01000512",1
"S01000513",6
"S01000514",2
"S01000515",2
"S01000516",1
"S01000517",3
"S01000518",4
"S01000519",2
"S01000520",1
"S01000521",4
"S01000522",1
"S01000523",5
"S01000524",3
"S01000525",2
"S01000526",4
"S01000527",1
"S01000528",2
"S01000529",2
"S01000530",2
"S01000531",3
"S01000532",5
"S01000533",3
"S01000534",4
"S01000535",3
"S01000536",6
"S01000537",1
"S01000538",4
"S01000539",8
"S01000540",5
"S01000541",6
"S01000542",4
"S01000543",2
"S01000544",2
"S01000545",7
"S01000546",3
"S01000547",3
"S01000548",4
"S01000549",1
"S01000550",1
"S01000551",4
"S01000552",1
"S01000553",2
"S01000554",7
"S01000555",5
"S01000556",5
"S01000557",3
"S01000558",5
"S01000559",6
"S01000560",8
"S01000561",8
"S01000562",6
"S01000563",10
"S01000564",8
"S01000565",4
"S01000566",6
"S01000567",5
"S01000568",2
"S01000569",4
"S01000570",2
"S01000571",8
"S01000572",1
"S01000573",1
"S01000574",2
"S01000575",2
"S01000576",1
"S01000577",2
"S01000578",1
"S01000579",1
"S01000580",1
"S01000581",1
"S01000582",4
"S01000583",2
"S01000584",7
"S01000585",7
"S01000586",3
"S01000587",5
"S01000588",4
"S01000589",4
"S01000590",4
"S01000591",2
"S01000592",3
"S01000593",3
"S01000594",1
"S01000595",3
"S01000596",1
"S01000597",1
"S01000598",1
"S01000599",2
"S01000600",1
"S01000601",2
"S01000602",3
"S01000603",2
"S01000604",1
"S01000605",3
"S01000606",9
"S01000607",1
"S01000608",9
"S01000609",8
"S01000610",10
"S01000611",6
"S01000612",9
"S01000613",6
"S01000614",5
"S01000615",8
"S01000616",7
"S01000617",2
"S01000618",2
"S01000619",3
"S01000620",8
"S01000621",6
"S01000622",9
"S01000623",5
"S01000624",7
"S01000625",8
"S01000626",8
"S01000627",5
"S01000628",5
"S01000629",3
"S01000630",3
"S01000631",6
"S01000632",6
"S01000633",1
"S01000634",4
"S01000635",2
"S01000636",5
"S01000637",4
"S01000638",2
"S01000639",5
"S01000640",1
"S01000641",3
"S01000642",4
"S01000643",3
"S01000644",2
"S01000645",5
"S01000646",1
"S01000647",3
"S01000648",7
"S01000649",6
"S01000650",3
"S01000651",6
"S01000652",2
"S01000653",8
"S01000654",6
"S01000655",7
"S01000656",9
"S01000657",8
"S01000658",9
"S01000659",2
"S01000660",2
"S01000661",8
"S01000662",2
"S01000663",5
"S01000664",2
"S01000665",5
"S01000666",2
"S01000667",4
"S01000668",7
"S01000669",9
"S01000670",5
"S01000671",2
"S01000672",5
"S01000673",1
"S01000674",6
"S01000675",1
"S01000676",7
"S01000677",8
"S01000678",3
"S01000679",9
"S01000680",8
"S01000681",10
"S01000682",10
"S01000683",7
"S01000684",9
"S01000685",7
"S01000686",9
"S01000687",6
"S01000688",4
"S01000689",6
"S01000690",2
"S01000691",4
"S01000692",8
"S01000693",9
"S01000694",5
"S01000695",5
"S01000696",9
"S01000697",2
"S01000698",7
"S01000699",6
"S01000700",2
"S01000701",3
"S01000702",3
"S01000703",3
"S01000704",6
"S01000705",2
"S01000706",3
"S01000707",4
"S01000708",4
"S01000709",2
"S01000710",8
"S01000711",2
"S01000712",3
"S01000713",3
"S01000714",3
"S01000715",8
"S01000716",10
"S01000717",9
"S01000718",6
"S01000719",3
"S01000720",2
"S01000721",6
"S01000722",6
"S01000723",3
"S01000724",6
"S01000725",3
"S01000726",4
"S01000727",8
"S01000728",6
"S01000729",7
"S01000730",6
"S01000731",9
"S01000732",10
"S01000733",9
"S01000734",2
"S01000735",7
"S01000736",5
"S01000737",7
"S01000738",5
"S01000739",6
"S01000740",4
"S01000741",4
"S01000742",2
"S01000743",5
"S01000744",9
"S01000745",6
"S01000746",7
"S01000747",8
"S01000748",9
"S01000749",8
"S01000750",4
"S01000751",2
"S01000752",8
"S01000753",4
"S01000754",5
"S01000755",6
"S01000756",7
"S01000757",3
"S01000758",2
"S01000759",5
"S01000760",2
"S01000761",2
"S01000762",2
"S01000763",4
"S01000764",4
"S01000765",2
"S01000766",5
"S01000767",9
"S01000768",9
"S01000769",10
"S01000770",8
"S01000771",5
"S01000772",7
"S01000773",4
"S01000774",6
"S01000775",6
"S01000776",1
"S01000777",7
"S01000778",1
"S01000779",4
"S01000780",5
"S01000781",1
"S01000782",1
"S01000783",4
"S01000784",1
"S01000785",3
"S01000786",4
"S01000787",4
"S01000788",4
"S01000789",6
"S01000790",1
"S01000791",3
"S01000792",1
"S01000793",5
"S01000794",7
"S01000795",3
"S01000796",6
"S01000797",4
"S01000798",4
"S01000799",9
"S01000800",4
"S01000801",3
"S01000802",3
"S01000803",2
"S01000804",4
"S01000805",3
"S01000806",4
"S01000807",7
"S01000808",6
"S01000809",6
"S01000810",4
"S01000811",2
"S01000812",8
"S01000813",2
"S01000814",8
"S01000815",10
"S01000816",10
"S01000817",5
"S01000818",9
"S01000819",6
"S01000820",4
"S01000821",9
"S01000822",7
"S01000823",7
"S01000824",3
"S01000825",3
"S01000826",4
"S01000827",2
"S01000828",4
"S01000829",4
"S01000830",4
"S01000831",4
"S01000832",8
"S01000833",4
"S01000834",5
"S01000835",8
"S01000836",9
"S01000837",10
"S01000838",2
"S01000839",5
"S01000840",6
"S01000841",8
"S01000842",1
"S01000843",6
"S01000844",8
"S01000845",4
"S01000846",9
"S01000847",8
"S01000848",2
"S01000849",3
"S01000850",8
"S01000851",2
"S01000852",4
"S01000853",7
"S01000854",6
"S01000855",4
"S01000856",3
"S01000857",4
"S01000858",2
"S01000859",2
"S01000860",9
"S01000861",2
"S01000862",1
"S01000863",5
"S01000864",2
"S01000865",5
"S01000866",4
"S01000867",8
"S01000868",6
"S01000869",7
"S01000870",6
"S01000871",3
"S01000872",2
"S01000873",5
"S01000874",8
"S01000875",3
"S01000876",6
"S01000877",9
"S01000878",2
"S01000879",2
"S01000880",1
"S01000881",4
"S01000882",8
"S01000883",7
"S01000884",5
"S01000885",1
"S01000886",3
"S01000887",1
"S01000888",8
"S01000889",4
"S01000890",6
"S01000891",3
"S01000892",2
"S01000893",1
"S01000894",5
"S01000895",3
"S01000896",1
"S01000897",3
"S01000898",5
"S01000899",6
"S01000900",3
"S01000901",7
"S01000902",4
"S01000903",3
"S01000904",4
"S01000905",5
"S01000906",3
"S01000907",8
"S01000908",9
"S01000909",3
"S01000910",4
"S01000911",2
"S01000912",4
"S01000913",6
"S01000914",2
"S01000915",4
"S01000916",4
"S01000917",7
"S01000918",6
"S01000919",6
"S01000920",5
"S01000921",5
"S01000922",6
"S01000923",3
"S01000924",5
"S01000925",5
"S01000926",6
"S01000927",4
"S01000928",4
"S01000929",9
"S01000930",9
"S01000931",6
"S01000932",6
"S01000933",8
"S01000934",9
"S01000935",6
"S01000936",5
"S01000937",8
"S01000938",5
"S01000939",6
"S01000940",4
"S01000941",6
"S01000942",7
"S01000943",1
"S01000944",5
"S01000945",8
"S01000946",4
"S01000947",5
"S01000948",2
"S01000949",2
"S01000950",5
"S01000951",7
"S01000952",3
"S01000953",1
"S01000954",4
"S01000955",1
"S01000956",8
"S01000957",7
"S01000958",5
"S01000959",3
"S01000960",7
"S01000961",3
"S01000962",7
"S01000963",4
"S01000964",3
"S01000965",7
"S01000966",6
"S01000967",7
"S01000968",5
"S01000969",8
"S01000970",6
"S01000971",7
"S01000972",1
"S01000973",5
"S01000974",1
"S01000975",4
"S01000976",7
"S01000977",3
"S01000978",5
"S01000979",4
"S01000980",4
"S01000981",2
"S01000982",3
"S01000983",3
"S01000984",4
"S01000985",7
"S01000986",3
"S01000987",4
"S01000988",1
"S01000989",3
"S01000990",6
"S01000991",6
"S01000992",3
"S01000993",2
"S01000994",6
"S01000995",1
"S01000996",6
"S01000997",1
"S01000998",9
"S01000999",3
"S01001000",8
"S01001001",5
"S01001002",7
"S01001003",2
"S01001004",2
"S01001005",2
"S01001006",2
"S01001007",8
"S01001008",9
"S01001009",7
"S01001010",10
"S01001011",6
"S01001012",2
"S01001013",8
"S01001014",10
"S01001015",9
"S01001016",3
"S01001017",7
"S01001018",8
"S01001019",8
"S01001020",8
"S01001021",7
"S01001022",9
"S01001023",7
"S01001024",4
"S01001025",4
"S01001026",3
"S01001027",3
"S01001028",7
"S01001029",7
"S01001030",2
"S01001031",6
"S01001032",8
"S01001033",8
"S01001034",9
"S01001035",6
"S01001036",8
"S01001037",7
"S01001038",2
"S01001039",5
"S01001040",3
"S01001041",5
"S01001042",4
"S01001043",2
"S01001044",4
"S01001045",2
"S01001046",6
"S01001047",4
"S01001048",2
"S01001049",4
"S01001050",6
"S01001051",4
"S01001052",5
"S01001053",3
"S01001054",4
"S01001055",7
"S01001056",7
"S01001057",6
"S01001058",7
"S01001059",5
"S01001060",6
"S01001061",6
"S01001062",2
"S01001063",3
"S01001064",7
"S01001065",7
"S01001066",5
"S01001067",6
"S01001068",4
"S01001069",5
"S01001070",5
"S01001071",3
"S01001072",7
"S01001073",3
"S01001074",5
"S01001075",5
"S01001076",5
"S01001077",6
"S01001078",6
"S01001079",5
"S01001080",3
"S01001081",6
"S01001082",7
"S01001083",3
"S01001084",4
"S01001085",3
"S01001086",4
"S01001087",4
"S01001088",5
"S01001089",4
"S01001090",10
"S01001091",10
"S01001092",10
"S01001093",10
"S01001094",6
"S01001095",10
"S01001096",10
"S01001097",8
"S01001098",9
"S01001099",10
"S01001100",10
"S01001101",10
"S01001102",10
"S01001103",9
"S01001104",10
"S01001105",1
"S01001106",4
"S01001107",10
"S01001108",10
"S01001109",10
"S01001110",10
"S01001111",10
"S01001112",10
"S01001113",10
"S01001114",10
"S01001115",10
"S01001116",9
"S01001117",10
"S01001118",6
"S01001119",10
"S01001120",8
"S01001121",10
"S01001122",10
"S01001123",7
"S01001124",8
"S01001125",10
"S01001126",3
"S01001127",9
"S01001128",1
"S01001129",9
"S01001130",9
"S01001131",10
"S01001132",7
"S01001133",9
"S01001134",4
"S01001135",9
"S01001136",10
"S01001137",10
"S01001138",10
"S01001139",8
"S01001140",9
"S01001141",10
"S01001142",5
"S01001143",3
"S01001144",8
"S01001145",8
"S01001146",1
"S01001147",10
"S01001148",2
"S01001149",9
"S01001150",10
"S01001151",9
"S01001152",9
"S01001153",4
"S01001154",2
"S01001155",2
"S01001156",10
"S01001157",2
"S01001158",6
"S01001159",4
"S01001160",7
"S01001161",7
"S01001162",5
"S01001163",10
"S01001164",9
"S01001165",10
"S01001166",10
"S01001167",2
"S01001168",10
"S01001169",9
"S01001170",9
"S01001171",9
"S01001172",10
"S01001173",8
"S01001174",10
"S01001175",8
"S01001176",6
"S01001177",9
"S01001178",7
"S01001179",1
"S01001180",10
"S01001181",1
"S01001182",9
"S01001183",10
"S01001184",5
"S01001185",1
"S01001186",1
"S01001187",8
"S01001188",10
"S01001189",8
"S01001190",1
"S01001191",9
"S01001192",10
"S01001193",3
"S01001194",2
"S01001195",5
"S01001196",10
"S01001197",7
"S01001198",7
"S01001199",8
"S01001200",9
"S01001201",9
"S01001202",8
"S01001203",9
"S01001204",1
"S01001205",5
"S01001206",10
"S01001207",7
"S01001208",8
"S01001209",4
"S01001210",8
"S01001211",4
"S01001212",9
"S01001213",9
"S01001214",8
"S01001215",5
"S01001216",6
"S01001217",9
"S01001218",3
"S01001219",3
"S01001220",8
"S01001221",2
"S01001222",7
"S01001223",3
"S01001224",8
"S01001225",2
"S01001226",10
"S01001227",3
"S01001228",2
"S01001229",4
"S01001230",7
"S01001231",6
"S01001232",2
"S01001233",9
"S01001234",8
"S01001235",6
"S01001236",6
"S01001237",5
"S01001238",8
"S01001239",9
"S01001240",6
"S01001241",6
"S01001242",3
"S01001243",7
"S01001244",8
"S01001245",8
"S01001246",5
"S01001247",4
"S01001248",4
"S01001249",6
"S01001250",4
"S01001251",9
"S01001252",6
"S01001253",9
"S01001254",6
"S01001255",6
"S01001256",6
"S01001257",7
"S01001258",9
"S01001259",3
"S01001260",9
"S01001261",9
"S01001262",2
"S01001263",3
"S01001264",3
"S01001265",2
"S01001266",3
"S01001267",7
"S01001268",2
"S01001269",3
"S01001270",5
"S01001271",8
"S01001272",6
"S01001273",6
"S01001274",5
"S01001275",6
"S01001276",3
"S01001277",3
"S01001278",2
"S01001279",5
"S01001280",3
"S01001281",6
"S01001282",3
"S01001283",5
"S01001284",4
"S01001285",5
"S01001286",3
"S01001287",5
"S01001288",6
"S01001289",4
"S01001290",1
"S01001291",4
"S01001292",8
"S01001293",4
"S01001294",6
"S01001295",5
"S01001296",8
"S01001297",4
"S01001298",7
"S01001299",4
"S01001300",5
"S01001301",4
"S01001302",1
"S01001303",2
"S01001304",1
"S01001305",5
"S01001306",5
"S01001307",3
"S01001308",6
"S01001309",8
"S01001310",7
"S01001311",5
"S01001312",7
"S01001313",5
"S01001314",2
"S01001315",2
"S01001316",6
"S01001317",4
"S01001318",5
"S01001319",5
"S01001320",7
"S01001321",6
"S01001322",4
"S01001323",7
"S01001324",9
"S01001325",7
"S01001326",4
"S01001327",7
"S01001328",7
"S01001329",6
"S01001330",1
"S01001331",5
"S01001332",6
"S01001333",8
"S01001334",6
"S01001335",7
"S01001336",4
"S01001337",3
"S01001338",7
"S01001339",4
"S01001340",6
"S01001341",7
"S01001342",5
"S01001343",5
"S01001344",2
"S01001345",8
"S01001346",4
"S01001347",1
"S01001348",7
"S01001349",8
"S01001350",7
"S01001351",7
"S01001352",2
"S01001353",1
"S01001354",8
"S01001355",3
"S01001356",3
"S01001357",9
"S01001358",5
"S01001359",2
"S01001360",5
"S01001361",6
"S01001362",1
"S01001363",10
"S01001364",7
"S01001365",5
"S01001366",1
"S01001367",6
"S01001368",2
"S01001369",4
"S01001370",4
"S01001371",10
"S01001372",1
"S01001373",5
"S01001374",1
"S01001375",1
"S01001376",10
"S01001377",7
"S01001378",5
"S01001379",5
"S01001380",8
"S01001381",3
"S01001382",10
"S01001383",5
"S01001384",7
"S01001385",9
"S01001386",8
"S01001387",5
"S01001388",9
"S01001389",4
"S01001390",3
"S01001391",8
"S01001392",8
"S01001393",3
"S01001394",10
"S01001395",5
"S01001396",8
"S01001397",8
"S01001398",2
"S01001399",8
"S01001400",8
"S01001401",8
"S01001402",1
"S01001403",1
"S01001404",1
"S01001405",1
"S01001406",3
"S01001407",3
"S01001408",5
"S01001409",3
"S01001410",2
"S01001411",2
"S01001412",6
"S01001413",2
"S01001414",7
"S01001415",9
"S01001416",4
"S01001417",3
"S01001418",1
"S01001419",3
"S01001420",1
"S01001421",2
"S01001422",1
"S01001423",7
"S01001424",9
"S01001425",5
"S01001426",6
"S01001427",2
"S01001428",7
"S01001429",9
"S01001430",2
"S01001431",2
"S01001432",2
"S01001433",1
"S01001434",2
"S01001435",2
"S01001436",2
"S01001437",2
"S01001438",1
"S01001439",2
"S01001440",2
"S01001441",2
"S01001442",1
"S01001443",2
"S01001444",4
"S01001445",2
"S01001446",1
"S01001447",4
"S01001448",4
"S01001449",2
"S01001450",3
"S01001451",1
"S01001452",2
"S01001453",1
"S01001454",1
"S01001455",2
"S01001456",2
"S01001457",2
"S01001458",3
"S01001459",1
"S01001460",1
"S01001461",1
"S01001462",1
"S01001463",2
"S01001464",2
"S01001465",1
"S01001466",1
"S01001467",1
"S01001468",1
"S01001469",2
"S01001470",1
"S01001471",1
"S01001472",1
"S01001473",3
"S01001474",3
"S01001475",2
"S01001476",1
"S01001477",1
"S01001478",1
"S01001479",4
"S01001480",1
"S01001481",1
"S01001482",7
"S01001483",1
"S01001484",1
"S01001485",2
"S01001486",2
"S01001487",5
"S01001488",1
"S01001489",3
"S01001490",9
"S01001491",1
"S01001492",8
"S01001493",1
"S01001494",7
"S01001495",1
"S01001496",2
"S01001497",9
"S01001498",1
"S01001499",3
"S01001500",8
"S01001501",1
"S01001502",1
"S01001503",1
"S01001504",7
"S01001505",1
"S01001506",9
"S01001507",1
"S01001508",1
"S01001509",6
"S01001510",8
"S01001511",1
"S01001512",8
"S01001513",10
"S01001514",3
"S01001515",1
"S01001516",6
"S01001517",8
"S01001518",6
"S01001519",2
"S01001520",5
"S01001521",4
"S01001522",7
"S01001523",1
"S01001524",6
"S01001525",3
"S01001526",3
"S01001527",5
"S01001528",1
"S01001529",7
"S01001530",6
"S01001531",8
"S01001532",3
"S01001533",1
"S01001534",1
"S01001535",2
"S01001536",4
"S01001537",5
"S01001538",1
"S01001539",3
"S01001540",1
"S01001541",2
"S01001542",2
"S01001543",3
"S01001544",4
"S01001545",2
"S01001546",9
"S01001547",6
"S01001548",2
"S01001549",3
"S01001550",3
"S01001551",3
"S01001552",5
"S01001553",3
"S01001554",1
"S01001555",7
"S01001556",3
"S01001557",2
"S01001558",3
"S01001559",3
"S01001560",10
"S01001561",3
"S01001562",3
"S01001563",2
"S01001564",3
"S01001565",8
"S01001566",2
"S01001567",3
"S01001568",4
"S01001569",3
"S01001570",1
"S01001571",6
"S01001572",2
"S01001573",4
"S01001574",6
"S01001575",8
"S01001576",4
"S01001577",3
"S01001578",5
"S01001579",5
"S01001580",4
"S01001581",2
"S01001582",6
"S01001583",4
"S01001584",5
"S01001585",9
"S01001586",1
"S01001587",7
"S01001588",7
"S01001589",5
"S01001590",7
"S01001591",5
"S01001592",7
"S01001593",8
"S01001594",9
"S01001595",8
"S01001596",4
"S01001597",10
"S01001598",2
"S01001599",10
"S01001600",9
"S01001601",2
"S01001602",3
"S01001603",8
"S01001604",7
"S01001605",2
"S01001606",8
"S01001607",5
"S01001608",6
"S01001609",4
"S01001610",7
"S01001611",5
"S01001612",1
"S01001613",5
"S01001614",8
"S01001615",7
"S01001616",1
"S01001617",5
"S01001618",5
"S01001619",3
"S01001620",5
"S01001621",3
"S01001622",8
"S01001623",4
"S01001624",5
"S01001625",6
